Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3861,,,,"3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)",PATRIC,"Benzoate degradation via hydroxylation","3-hydroxybutyryl-CoA dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3865,,,,"Acyl-CoA dehydrogenase 2 [fadN-fadA-fadE operon] (EC 1.3.8.7)",PATRIC,"Fatty acid metabolism","Medium-chain acyl-CoA dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3873,,,,"Beta-ureidopropionase (EC 3.5.1.6)",PATRIC,"Drug metabolism - other enzymes","Beta-ureidopropionase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3875,,,,"Dihydropyrimidinase (EC 3.5.2.2) @ D-hydantoinase (EC 3.5.2.2)",PATRIC,"Pyrimidine metabolism","Dihydropyrimidinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3885,,,,"Diaminopimelate epimerase (EC 5.1.1.7)",PATRIC,"Lysine biosynthesis","Diaminopimelate epimerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3893,,,,"Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)",PATRIC,"Glycolysis / Gluconeogenesis","Dihydrolipoyl dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3894,,,,"Branched-chain amino acid aminotransferase (EC 2.6.1.42)",PATRIC,"Valine, leucine and isoleucine biosynthesis","Branched-chain-amino-acid transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3963,,,,"Probable oxidoreductase ordL (EC 1.-.-.-)",PATRIC,"Biotin metabolism","Oxidoreductases"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3968,,,,"Nicotinamidase (EC 3.5.1.19)",PATRIC,"Nicotinate and nicotinamide metabolism","Nicotinamidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3972,,,,"ADP-ribose pyrophosphatase (EC 3.6.1.13)",PATRIC,"Purine metabolism","ADP-ribose diphosphatase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3974,,,,"N-acetylornithine aminotransferase (EC 2.6.1.11)",PATRIC,"Arginine and proline metabolism","Acetylornithine transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.3985,,,,"Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase PpnN (EC 3.2.2.4) (EC 3.2.2.10)",PATRIC,"Purine metabolism","AMP nucleosidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4007,,,,"N-carbamoylputrescine amidase (EC 3.5.1.53)",PATRIC,"Arginine and proline metabolism","N-carbamoylputrescine amidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4046,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Tyrosine metabolism","Aspartate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4055,,,,"Probable glutathione S-transferase (EC 2.5.1.18), YfcF homolog",PATRIC,"Drug metabolism - cytochrome P450","Glutathione transferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4118,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Arginine and proline metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4131,,,,"Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)",PATRIC,"Butanoate metabolism","3-oxoacid CoA-transferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4132,,,,"Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Lysine degradation","Acetyl-CoA C-acetyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4347,,,,"Pantoate--beta-alanine ligase (EC 6.3.2.1)",PATRIC,"Pantothenate and CoA biosynthesis","Pantoate--beta-alanine ligase (AMP-forming)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4348,,,,"Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)",PATRIC,"Arachidonic acid metabolism","Glutathione peroxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4350,,,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Limonene and pinene degradation","Enoyl-CoA hydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4352,,,,"Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.8.8)",PATRIC,"Fatty acid metabolism","Long-chain-acyl-CoA dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4356,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Fatty acid metabolism","Acetyl-CoA C-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4357,,,,"3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)",PATRIC,"Tryptophan metabolism","3-hydroxyacyl-CoA dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4361,,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",PATRIC,"Fatty acid metabolism","Long-chain-fatty-acid--CoA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4369,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)",PATRIC,"Benzoate degradation via hydroxylation","Acetyl-CoA C-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4388,,,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Tryptophan metabolism","Enoyl-CoA hydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4401,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Pyruvate metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4418,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Benzoate degradation via hydroxylation","Acetyl-CoA C-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4440,,,,"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",PATRIC,"Tyrosine metabolism","Gentisate 1,2-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4443,,,,"3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)",PATRIC,"Valine, leucine and isoleucine biosynthesis","3-isopropylmalate dehydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4444,,,,"3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)",PATRIC,"Valine, leucine and isoleucine biosynthesis","3-isopropylmalate dehydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4446,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Glycolysis / Gluconeogenesis","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4448,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Limonene and pinene degradation","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4449,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Pyruvate metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4450,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Fatty acid metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4466,,,,"Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)",PATRIC,"Aminoacyl-tRNA biosynthesis","Phenylalanine--tRNA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4486,,,,"L-glutaminase-L-asparaginase (EC 3.5.1.38)",PATRIC,"Arginine and proline metabolism","Glutamin-(asparagin-)ase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4507,,,,"O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)",PATRIC,"Cysteine and methionine metabolism","O-acetylhomoserine aminocarboxypropyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4508,,,,"Amidophosphoribosyltransferase (EC 2.4.2.14)",PATRIC,"Purine metabolism","Amidophosphoribosyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4511,,,,"Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)",PATRIC,"Folate biosynthesis","Dihydrofolate synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4512,,,,"Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)",PATRIC,"Tetracycline biosynthesis","Acetyl-CoA carboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4518,,,,"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)",PATRIC,"Glycine, serine and threonine metabolism","Aspartate-semialdehyde dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4534,,,,"Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aromatic-amino-acid aminotransferase (EC 2.6.1.57)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Aromatic-amino-acid transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4546,,,,"Amino-acid acetyltransferase (EC 2.3.1.1)",PATRIC,"Arginine and proline metabolism","Amino-acid N-acetyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4599,,,,"Transaldolase (EC 2.2.1.2)",PATRIC,"Pentose phosphate pathway","Transaldolase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4615,,,,"Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)",PATRIC,"Nicotinate and nicotinamide metabolism","NAD(P)(+) transhydrogenase (Si-specific)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4618,,,,"NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)",PATRIC,"Carbon fixation in photosynthetic organisms","Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4622,,,,"beta-N-acetylglucosaminidase (EC 3.2.1.52)",PATRIC,"Glycosphingolipid biosynthesis - ganglio series","Beta-N-acetylhexosaminidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4629,,,,"Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)",PATRIC,"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation","Acting on the CH-CH group of donors"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4633,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)",PATRIC,"Valine, leucine and isoleucine degradation","Acetyl-CoA C-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4634,,,,"Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)",PATRIC,"1,4-Dichlorobenzene degradation","Enoyl-CoA hydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4651,,,,"Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)",PATRIC,"Oxidative phosphorylation","Cytochrome-c oxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4654,,,,"Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)",PATRIC,"Nitrogen metabolism","Cytochrome-c oxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4656,,,,"Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)",PATRIC,"Oxidative phosphorylation","Cytochrome-c oxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4680,,,,"Acetoacetyl-CoA synthetase (EC 6.2.1.16)",PATRIC,"Butanoate metabolism","Acetoacetate--CoA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4683,,,,"2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)",PATRIC,"Pentose phosphate pathway","2-dehydro-3-deoxygluconokinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4714,,,,"Pyruvate dehydrogenase (quinone) (EC 1.2.5.1)",PATRIC,"Pyruvate metabolism","Pyruvate dehydrogenase (quinone)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4736,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)",PATRIC,"Valine, leucine and isoleucine degradation","Acetyl-CoA C-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4742,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Glycolysis / Gluconeogenesis","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4753,,,,"Precorrin-4 C(11)-methyltransferase (EC 2.1.1.133)",PATRIC,"Porphyrin and chlorophyll metabolism","Precorrin-4 C(11)-methyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4756,,,,"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)",PATRIC,"One carbon pool by folate","Methionine synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4760,,,,"Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)",PATRIC,"Sulfur metabolism","Sulfite reductase (NADPH)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4785,,,,"Strictosidine synthase precursor (EC 4.3.3.2)",PATRIC,"Indole alkaloid biosynthesis","Strictosidine synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4789,,,,"Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7)",PATRIC,"Purine metabolism","DNA-directed DNA polymerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4818,,,,"Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)",PATRIC,"Betalain biosynthesis","With oxygen as acceptor"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4848,,,,"Haloacid dehalogenase, type II (EC 3.8.1.2)",PATRIC,"gamma-Hexachlorocyclohexane degradation","(S)-2-haloacid dehalogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4875,,,,"Selenide,water dikinase (EC 2.7.9.3)",PATRIC,"Selenoamino acid metabolism","Selenide, water dikinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4878,,,,"2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32)",PATRIC,"Tryptophan metabolism","Aminomuconate-semialdehyde dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4879,,,,"2-keto-4-pentenoate hydratase (EC 4.2.1.80)",PATRIC,"Benzoate degradation via hydroxylation","2-oxopent-4-enoate hydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4880,,,,"Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol",PATRIC,"Toluene and xylene degradation","Acetaldehyde dehydrogenase (acetylating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4881,,,,"4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)",PATRIC,"Benzoate degradation via hydroxylation","4-hydroxy-2-oxovalerate aldolase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4882,,,,"4-oxalocrotonate decarboxylase (EC 4.1.1.77)",PATRIC,"Benzoate degradation via hydroxylation","2-oxo-3-hexenedioate decarboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4883,,,,"2-aminomuconate deaminase (EC 3.5.99.5) @ RidA/YER057c/UK114 superfamily protein",PATRIC,"Tryptophan metabolism","2-aminomuconate deaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4884,,,,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)",PATRIC,"Tryptophan metabolism","3-hydroxyanthranilate 3,4-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4885,,,,"2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)",PATRIC,"Tryptophan metabolism","Aminocarboxymuconate-semialdehyde decarboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4921,,,,"Precorrin-6A synthase (deacetylating) (EC 2.1.1.152)",PATRIC,"Porphyrin and chlorophyll metabolism","Precorrin-6A synthase (deacetylating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4933,,,,"D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)",PATRIC,"Pyruvate metabolism","D-lactate dehydrogenase (cytochrome)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4954,,,,"Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)",PATRIC,"Fluorobenzoate degradation","Benzoate 1,2-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4955,,,,"Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)",PATRIC,"Benzoate degradation via hydroxylation","Benzoate 1,2-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4957,,,,"Catechol 1,2-dioxygenase (EC 1.13.11.1)",PATRIC,"Benzoate degradation via hydroxylation","Catechol 1,2-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4972,,,,"Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)",PATRIC,"Porphyrin and chlorophyll metabolism","Sirohydrochlorin ferrochelatase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4986,,,,"Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)",PATRIC,"Citrate cycle (TCA cycle)","Isocitrate dehydrogenase (NADP(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4990,,,,"Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)",PATRIC,"Purine metabolism","Adenylosuccinate lyase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4996,,,,"NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.4997,,,,"NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5000,,,,"NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)",PATRIC,"Oxidative phosphorylation","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5001,,,,"NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5002,,,,"NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)",PATRIC,"Oxidative phosphorylation","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5004,,,,"NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5006,,,,"NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)",PATRIC,"Oxidative phosphorylation","NADH:ubiquinone reductase (H(+)-translocating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5009,,,,"Cysteinyl-tRNA synthetase (EC 6.1.1.16)",PATRIC,"Aminoacyl-tRNA biosynthesis","Cysteine--tRNA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5027,,,,"Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)",PATRIC,"Geraniol degradation","Hydroxymethylglutaryl-CoA lyase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5029,,,,"Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16)",PATRIC,"Butanoate metabolism","Acetoacetate--CoA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5057,,,,"2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)",PATRIC,"Phosphonate and phosphinate metabolism","2-aminoethylphosphonate--pyruvate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5086,,,,"Cyclohexanone monooxygenase (EC 1.14.13.22)",PATRIC,"Caprolactam degradation","Cyclohexanone monooxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5109,,,,"Cytosine deaminase (EC 3.5.4.1)",PATRIC,"Pyrimidine metabolism","Cytosine deaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5155,,,,"L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis @ Siderophore biosynthesis protein, monooxygenase",PATRIC,"Trinitrotoluene degradation","With incorporation of one atom of oxygen"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5177,,,,"Glucoamylase (EC 3.2.1.3)",PATRIC,"Starch and sucrose metabolism","Glucan 1,4-alpha-glucosidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5181,,,,"Epoxide hydrolase (EC 3.3.2.9)",PATRIC,"Metabolism of xenobiotics by cytochrome P450","Microsomal epoxide hydrolase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5189,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Tyrosine metabolism","Aspartate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5206,,,,"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)",PATRIC,"Methane metabolism","Phosphoglycerate dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5210,,,,"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)",PATRIC,"Peptidoglycan biosynthesis","Serine-type D-Ala-D-Ala carboxypeptidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5218,,,,"Cysteine desulfurase (EC 2.8.1.7)",PATRIC,"Thiamine metabolism","Cysteine desulfurase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.5255,,,,"Isohexenylglutaconyl-CoA hydratase (EC 4.2.1.57)",PATRIC,"Geraniol degradation","Isohexenylglutaconyl-CoA hydratase"
