Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.121",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.130106.130552.fwd","PATRIC","CDS",130106,130552,447,"+",,"PLF_286_00300296","PGF_03127487",,148,,"Acetyltransferase, GNAT family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1191",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1301678.1302283.rev","PATRIC","CDS",1301678,1302283,606,"-",,"PLF_286_00008139","PGF_12836693",,201,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1192",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1302336.1302809.rev","PATRIC","CDS",1302336,1302809,474,"-",,"PLF_286_00009405","PGF_03022562",,157,,"Two-component system sensor histidine kinase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1193",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1302964.1303419.fwd","PATRIC","CDS",1302964,1303419,456,"+",,"PLF_286_00000751","PGF_00013066",,151,,"Hypothetical flavoprotein YqcA (clustered with tRNA pseudouridine synthase C)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1194",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1303400.1304296.rev","PATRIC","CDS",1303400,1304296,897,"-",,"PLF_286_00008462","PGF_00017784",,298,,"Transcriptional regulator CidR, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1195",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1304395.1304781.fwd","PATRIC","CDS",1304395,1304781,387,"+",,"PLF_286_00008710","PGF_00012257",,128,,"Holin-like protein CidA",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1196",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1304771.1305457.fwd","PATRIC","CDS",1304771,1305457,687,"+",,"PLF_286_00008455","PGF_03376181",,228,,"CidA-associated membrane protein CidB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1197",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1305601.1306383.fwd","PATRIC","CDS",1305601,1306383,783,"+",,"PLF_286_00001538","PGF_01468574",,260,,"Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.122",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.130573.131244.fwd","PATRIC","CDS",130573,131244,672,"+",,"PLF_286_00008125","PGF_03322305",,223,,"GNAT family acetyltransferase PA5433",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1198",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1306383.1307285.fwd","PATRIC","CDS",1306383,1307285,903,"+",,"PLF_286_00370202","PGF_06574151",,300,,"Hydrolase, alpha/beta fold family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1199",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1307413.1308324.fwd","PATRIC","CDS",1307413,1308324,912,"+",,"PLF_286_00010727","PGF_10532194",,303,,"Oxidoreductase, short-chain dehydrogenase/reductase family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1200",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1308503.1308631.fwd","PATRIC","CDS",1308503,1308631,129,"+",,"PLF_286_00042893","PGF_08225224",,42,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1201",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1308815.1309615.rev","PATRIC","CDS",1308815,1309615,801,"-",,"PLF_286_00007022","PGF_10402614",,266,,"Homogentisate pathway transcriptional regulator HmgR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1202",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1309783.1311087.fwd","PATRIC","CDS",1309783,1311087,1305,"+",,"PLF_286_00001167","PGF_00012291",,434,,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)","GO:0004411|homogentisate 1,2-dioxygenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1203",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1311091.1312395.fwd","PATRIC","CDS",1311091,1312395,1305,"+",,"PLF_286_00001162","PGF_00006510",,434,,"Fumarylacetoacetase (EC 3.7.1.2)","GO:0004334|fumarylacetoacetase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1204",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1312408.1313046.fwd","PATRIC","CDS",1312408,1313046,639,"+",,"PLF_286_00001320","PGF_06904886",,212,,"Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)","GO:0016034|maleylacetoacetate isomerase activity;GO:0004364|glutathione transferase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1205",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1313194.1314564.fwd","PATRIC","CDS",1313194,1314564,1371,"+",,"PLF_286_00011663","PGF_03029632",,456,,"4-hydroxybenzoate transporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.123",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.131406.134423.fwd","PATRIC","CDS",131406,134423,3018,"+",,"PLF_286_00016585","PGF_03070057",,1005,,"autotransporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1206",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1314572.1315039.rev","PATRIC","CDS",1314572,1315039,468,"-",,"PLF_286_00027224","PGF_00277217",,155,,"acetyltransferase, GNAT family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1207",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1315119.1315922.rev","PATRIC","CDS",1315119,1315922,804,"-",,"PLF_286_00008621","PGF_03016423",,267,,"Protein sirB1",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1208",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1316105.1317124.fwd","PATRIC","CDS",1316105,1317124,1020,"+",,"PLF_286_00014120","PGF_00016850",,339,,"Branched-chain amino acid dehydrogenase [deaminating] (EC 1.4.1.9)(EC 1.4.1.23)","GO:0050049|leucine dehydrogenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1209",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1317228.1317482.fwd","PATRIC","CDS",1317228,1317482,255,"+",,"PLF_286_00374300","PGF_10545606",,84,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1210",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1317582.1317923.rev","PATRIC","CDS",1317582,1317923,342,"-",,"PLF_286_00007305","PGF_00067271",,113,,"YebG, DNA damage-inducible gene in SOS regulon, expressed in stationary phase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1211",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1317932.1318165.rev","PATRIC","CDS",1317932,1318165,234,"-",,,,,77,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1212",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1318205.1318705.fwd","PATRIC","CDS",1318205,1318705,501,"+",,"PLF_286_00000073","PGF_08225224",,166,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1213",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1318702.1319052.rev","PATRIC","CDS",1318702,1319052,351,"-",,"PLF_286_00008784","PGF_00774933",,116,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.14",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.13191.14753.fwd","PATRIC","CDS",13191,14753,1563,"+",,"PLF_286_00005973","PGF_08028591",,520,,"Cardiolipin synthase (EC 2.7.8.-) phosphatidylethanolamine-utilizing, bacterial type ClsC","GO:0008808|cardiolipin synthase activity;GO:0008808|UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity;GO:0008808|GDP-mannose:serine-protein mannose-1-phosphotransferase activity;GO:0008808|archaetidylserine synthase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1214",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1319239.1320540.rev","PATRIC","CDS",1319239,1320540,1302,"-",,"PLF_286_00005704","PGF_00051326",,433,,"Serine transporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1215",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1320604.1321980.rev","PATRIC","CDS",1320604,1321980,1377,"-",,"PLF_286_00000046","PGF_00016225",,458,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)","GO:0003941|L-serine ammonia-lyase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1216",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1322116.1323063.fwd","PATRIC","CDS",1322116,1323063,948,"+",,"PLF_286_00010666","PGF_07987589",,315,,"Transcriptional regulator, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1217",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1323276.1323683.fwd","PATRIC","CDS",1323276,1323683,408,"+",,"PLF_286_00008215","PGF_00048900",,135,,"Ribosome-associated inhibitor A",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1218",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1323746.1326106.rev","PATRIC","CDS",1323746,1326106,2361,"-",,"PLF_286_00006913","PGF_00015396",,786,,"Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1219",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1326341.1327306.rev","PATRIC","CDS",1326341,1327306,966,"-",,"PLF_286_00010931","PGF_00015343",,321,,"Iron siderophore sensor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1220",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1327315.1327803.rev","PATRIC","CDS",1327315,1327803,489,"-",,"PLF_286_00007509","PGF_06408249",,162,,"FIG006045: Sigma factor, ECF subfamily",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1221",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1328016.1328321.fwd","PATRIC","CDS",1328016,1328321,306,"+",,"PLF_286_00434690","PGF_12874649",,101,,"FIG024006: iron uptake protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1222",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1328318.1329895.fwd","PATRIC","CDS",1328318,1329895,1578,"+",,"PLF_286_00006583","PGF_00003531",,525,,"FIG138928: iron-regulated membrane protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1223",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1329896.1330222.fwd","PATRIC","CDS",1329896,1330222,327,"+",,"PLF_286_00017538","PGF_00228869",,108,,"FIG016502: iron uptake protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1224",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1330237.1330812.fwd","PATRIC","CDS",1330237,1330812,576,"+",,"PLF_286_00014194","PGF_00896280",,191,,"RNA polymerase ECF-type sigma factor",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1225",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1330809.1331798.fwd","PATRIC","CDS",1330809,1331798,990,"+",,"PLF_286_00010817","PGF_00015343",,329,,"Iron siderophore sensor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1226",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1331967.1332374.fwd","PATRIC","CDS",1331967,1332374,408,"+",,"PLF_286_00007539","PGF_05541499",,135,,"Biopolymer transport protein ExbD/TolR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1227",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1332379.1333158.fwd","PATRIC","CDS",1332379,1333158,780,"+",,"PLF_286_00034390","PGF_10404334",,259,,"putative TonB-dependent receptor",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1228",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1333201.1335441.fwd","PATRIC","CDS",1333201,1335441,2241,"+",,"PLF_286_00237592","PGF_00715970",,746,,"TonB-dependent receptor",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1229",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1335470.1336114.fwd","PATRIC","CDS",1335470,1336114,645,"+",,"PLF_286_00031649","PGF_01891432",,214,,"Ferric siderophore transport system, biopolymer transport protein ExbB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1230",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1336246.1337949.fwd","PATRIC","CDS",1336246,1337949,1704,"+",,"PLF_286_00034254","PGF_07104524",,567,,"5'-nucleotidase (EC 3.1.3.5)","GO:0008253|5'-nucleotidase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1231",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1338139.1338231.rev","PATRIC","CDS",1338139,1338231,93,"-",,"PLF_286_00185217","PGF_04330856",,30,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1232",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1338262.1340697.fwd","PATRIC","CDS",1338262,1340697,2436,"+",,"PLF_286_00010663","PGF_03135676",,811,,"Ferrichrome-iron receptor @ Iron siderophore receptor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1233",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1340697.1341761.fwd","PATRIC","CDS",1340697,1341761,1065,"+",,"PLF_286_00032700","PGF_10440807",,354,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1234",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1341770.1342645.rev","PATRIC","CDS",1341770,1342645,876,"-",,"PLF_286_00369984","PGF_01671660",,291,,"Transcriptional regulator, AraC family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1235",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1342800.1343699.fwd","PATRIC","CDS",1342800,1343699,900,"+",,"PLF_286_00001177","PGF_07201805",,299,,"Permease of the drug/metabolite transporter (DMT) superfamily",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1236",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1343754.1344122.rev","PATRIC","CDS",1343754,1344122,369,"-",,"PLF_286_00240489","PGF_01044270",,122,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1237",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1344297.1345274.rev","PATRIC","CDS",1344297,1345274,978,"-",,"PLF_286_00006202","PGF_00010170",,325,,"Glyoxylate reductase (EC 1.1.1.79) / Glyoxylate reductase (EC 1.1.1.26) / Hydroxypyruvate reductase (EC 1.1.1.81); 2-ketoaldonate reductase, broad specificity (EC 1.1.1.215)","GO:0030267|glyoxylate reductase (NADP) activity;GO:0047964|glyoxylate reductase activity;GO:0016618|hydroxypyruvate reductase activity;GO:0008873|gluconate 2-dehydrogenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1238",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1345380.1346348.rev","PATRIC","CDS",1345380,1346348,969,"-",,"PLF_286_00116478","PGF_12747470",,322,,"Transcriptional regulator Bxe_A1347, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.124",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.134550.136358.rev","PATRIC","CDS",134550,136358,1809,"-",,"PLF_286_00196693","PGF_00012280",,602,,"Pyruvate carboxylase subunit B (biotin-containing) (EC 6.4.1.1)","GO:0004736|pyruvate carboxylase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1239",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1346621.1348132.fwd","PATRIC","CDS",1346621,1348132,1512,"+",,"PLF_286_00300907","PGF_00006637",,503,,"Tetrapartite efflux system, outer membrane factor lipoprotein FusA-like => FusA of FusABCDE system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1240",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1348144.1350351.fwd","PATRIC","CDS",1348144,1350351,2208,"+",,"PLF_286_00013701","PGF_03043280",,735,,"Tetrapartite efflux system, inner membrane component FusBC-like => FusBC of FusABCDE system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1241",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1350341.1350541.fwd","PATRIC","CDS",1350341,1350541,201,"+",,"PLF_286_00006931","PGF_00582385",,66,,"Tetrapartite efflux system component, FusD-like => FusD of FusABCDE system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1242",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1350552.1351412.fwd","PATRIC","CDS",1350552,1351412,861,"+",,"PLF_286_00006124","PGF_02871378",,286,,"Tetrapartite efflux system, membrane fusion component FusE-like => FusE of FusABCDE system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1243",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1351521.1352585.rev","PATRIC","CDS",1351521,1352585,1065,"-",,"PLF_286_00027981","PGF_08225224",,354,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1244",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1352888.1353094.fwd","PATRIC","CDS",1352888,1353094,207,"+",,"PLF_286_00041631","PGF_07445365",,68,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1245",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1353267.1354334.rev","PATRIC","CDS",1353267,1354334,1068,"-",,"PLF_286_00429426","PGF_12676786",,355,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1246",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1354430.1355254.rev","PATRIC","CDS",1354430,1355254,825,"-",,"PLF_286_00006107","PGF_00484325",,274,,"Oxidoreductase, short-chain dehydrogenase/reductase family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1247",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1355289.1355753.rev","PATRIC","CDS",1355289,1355753,465,"-",,"PLF_286_00009977","PGF_00031385",,154,,"Permease of the drug/metabolite transporter (DMT) superfamily",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1248",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1356885.1357160.rev","PATRIC","CDS",1356885,1357160,276,"-",,"PLF_286_00050107","PGF_10568567",,91,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1249",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1357503.1358954.rev","PATRIC","CDS",1357503,1358954,1452,"-",,"PLF_286_00000080","PGF_09170204",,483,,"Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)","GO:0004475|mannose-1-phosphate guanylyltransferase activity;GO:0004476|mannose-6-phosphate isomerase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1250",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1359057.1359713.rev","PATRIC","CDS",1359057,1359713,657,"-",,"PLF_286_00006379","PGF_00039610",,218,,"Alginate O-acetyltransferase AlgF, periplasmic",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1251",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1359731.1360903.rev","PATRIC","CDS",1359731,1360903,1173,"-",,"PLF_286_00008752","PGF_00039343",,390,,"Alginate O-acetyltransferase AlgJ, inner membrane",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1252",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1360915.1362492.rev","PATRIC","CDS",1360915,1362492,1578,"-",,"PLF_286_00371543","PGF_05144608",,525,,"Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)","GO:0004147|dihydrolipoamide branched chain acyltransferase activity;GO:0004147|sterol O-acyltransferase activity;GO:0004147|N-acetyltransferase activity;GO:0004147|O-acyltransferase activity;GO:0004147|palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity;GO:0004147|carnitine O-acyltransferase activity;GO:0004147|acetyltransferase activity;GO:0004147|C-acyltransferase activity;GO:0004147|palmitoyltransferase activity;GO:0004147|N-acyltransferase activity;GO:0004147|acylglycerol O-acyltransferase activity;GO:0004147|serine O-acyltransferase activity;GO:0004147|O-acetyltransferase activity;GO:0004147|O-octanoyltransferase activity;GO:0004147|octanoyltransferase activity;GO:0004147|O-palmitoyltransferase activity;GO:0004147|S-acyltransferase activity;GO:0004147|S-acetyltransferase activity;GO:0004147|S-malonyltransferase activity;GO:0004147|malonyltransferase activity;GO:0004147|C-palmitoyltransferase activity;GO:0004147|succinyltransferase activity;GO:0004147|N-succinyltransferase activity;GO:0004147|O-succinyltransferase activity;GO:0004147|S-succinyltransferase activity;GO:0004147|sinapoyltransferase activity;GO:0004147|O-sinapoyltransferase activity;GO:0004147|peptidyl-lysine N6-myristoyltransferase activity;GO:0004147|peptidyl-lysine N6-palmitoyltransferase activity;GO:0004147|benzoyl acetate-CoA thiolase activity;GO:0004147|3-hydroxybutyryl-CoA thiolase activity;GO:0004147|3-ketopimelyl-CoA thiolase activity;GO:0004147|N-palmitoyltransferase activity;GO:0004147|myristoyltransferase activity;GO:0004147|acyl-CoA N-acyltransferase activity;GO:0004147|protein-cysteine S-myristoyltransferase activity;GO:0004147|protein-cysteine S-acyltransferase activity;GO:0004147|dihydrolipoamide S-acyltransferase activity;GO:0004147|glucosaminyl-phosphotidylinositol O-acyltransferase activity;GO:0004147|ergosterol O-acyltransferase activity;GO:0004147|lanosterol O-acyltransferase activity;GO:0004147|naphthyl-2-oxomethyl-succinyl-CoA succinyl transferase activity;GO:0004147|2,4,4-trimethyl-3-oxopentanoyl-CoA 2-C-propanoyl transferase activity;GO:0004147|2-methylhexanoyl-CoA C-acetyltransferase activity;GO:0004147|butyryl-CoA 2-C-propionyltransferase activity;GO:0004147|2,6-dimethyl-5-methylene-3-oxo-heptanoyl-CoA C-acetyltransferase activity;GO:0004147|L-2-aminoadipate N-acetyltransferase activity;GO:0004147|UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity;GO:0004147|keto acid formate lyase activity;GO:0004147|Ras palmitoyltransferase activity;GO:0004147|azetidine-2-carboxylic acid acetyltransferase activity;GO:0004147|peptidyl-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor;GO:0004147|acetyl-CoA:L-lysine N6-acetyltransferase"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1253",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1362643.1363767.rev","PATRIC","CDS",1362643,1363767,1125,"-",,"PLF_286_00010278","PGF_00039577",,374,,"Alginate lyase AlgL (EC 4.2.2.3)","GO:0045135|poly(beta-D-mannuronate) lyase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1254",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1363776.1365224.rev","PATRIC","CDS",1363776,1365224,1449,"-",,"PLF_286_00006266","PGF_00039369",,482,,"Alginate O-acetyltransferase AlgX, periplasmic",
